country,number_of_hours,low_upper_band,medium_upper_band
Argentina,1,69111,139712
Argentina,2,138221,279424
Argentina,3,207331,419136
Argentina,4,276442,558848
Argentina,5,345552,698559
Argentina,6,414662,838271
Argentina,7,483773,977983
Argentina,8,552883,1117695
Argentina,9,621993,1257407
Argentina,10,691103,1397118
Argentina,11,760214,1536830
Argentina,12,829324,1676542
Argentina,13,898434,1816254
Argentina,14,967545,1955965
Argentina,15,1036655,2095677
Argentina,16,1105765,2235389
Argentina,17,1174875,2375101
Argentina,18,1243986,2514813
Argentina,19,1313096,2654524
Argentina,20,1382206,2794236
Argentina,21,1451317,2933948
Argentina,22,1520427,3073660
Argentina,23,1589537,3213371
Argentina,24,1658648,3353083
Australia,1,100703,203579
Australia,2,201406,407157
Australia,3,302109,610735
Australia,4,402811,814314
Australia,5,503514,1017892
Australia,6,604217,1221470
Australia,7,704919,1425048
Australia,8,805622,1628627
Australia,9,906325,1832205
Australia,10,1007028,2035783
Australia,11,1107730,2239362
Australia,12,1208433,2442940
Australia,13,1309136,2646518
Australia,14,1409838,2850096
Australia,15,1510541,3053675
Australia,16,1611244,3257253
Australia,17,1711947,3460831
Australia,18,1812649,3664410
Australia,19,1913352,3867988
Australia,20,2014055,4071566
Australia,21,2114757,4275144
Australia,22,2215460,4478723
Australia,23,2316163,4682301
Australia,24,2416866,4885879
Austria,1,31759,64203
Austria,2,63518,128406
Austria,3,95277,192609
Austria,4,127036,256812
Austria,5,158795,321015
Austria,6,190553,385218
Austria,7,222312,449421
Austria,8,254071,513624
Austria,9,285830,577826
Austria,10,317589,642029
Austria,11,349347,706232
Austria,12,381106,770435
Austria,13,412865,834638
Austria,14,444624,898841
Austria,15,476383,963044
Austria,16,508142,1027247
Austria,17,539900,1091450
Austria,18,571659,1155652
Austria,19,603418,1219855
Austria,20,635177,1284058
Austria,21,666936,1348261
Austria,22,698694,1412464
Austria,23,730453,1476667
Austria,24,762212,1540870
Bangladesh,1,115271,233029
Bangladesh,2,230542,466058
Bangladesh,3,345813,699087
Bangladesh,4,461084,932116
Bangladesh,5,576355,1165145
Bangladesh,6,691626,1398174
Bangladesh,7,806897,1631203
Bangladesh,8,922167,1864232
Bangladesh,9,1037438,2097261
Bangladesh,10,1152709,2330290
Bangladesh,11,1267980,2563319
Bangladesh,12,1383251,2796348
Bangladesh,13,1498522,3029377
Bangladesh,14,1613793,3262405
Bangladesh,15,1729063,3495434
Bangladesh,16,1844334,3728463
Bangladesh,17,1959605,3961492
Bangladesh,18,2074876,4194521
Bangladesh,19,2190147,4427550
Bangladesh,20,2305418,4660579
Bangladesh,21,2420689,4893608
Bangladesh,22,2535959,5126637
Bangladesh,23,2651230,5359666
Bangladesh,24,2766501,5592695
Belgium,1,33542,67808
Belgium,2,67084,135615
Belgium,3,100626,203422
Belgium,4,134167,271229
Belgium,5,167709,339036
Belgium,6,201251,406844
Belgium,7,234793,474651
Belgium,8,268334,542458
Belgium,9,301876,610265
Belgium,10,335418,678072
Belgium,11,368960,745880
Belgium,12,402501,813687
Belgium,13,436043,881494
Belgium,14,469585,949301
Belgium,15,503126,1017108
Belgium,16,536668,1084916
Belgium,17,570210,1152723
Belgium,18,603752,1220530
Belgium,19,637293,1288337
Belgium,20,670835,1356144
Belgium,21,704377,1423952
Belgium,22,737919,1491759
Belgium,23,771460,1559566
Belgium,24,805002,1627373
Bolivia,1,67324,136100
Bolivia,2,134647,272199
Bolivia,3,201970,408298
Bolivia,4,269293,544397
Bolivia,5,336617,680496
Bolivia,6,403940,816595
Bolivia,7,471263,952694
Bolivia,8,538586,1088793
Bolivia,9,605910,1224892
Bolivia,10,673233,1360992
Bolivia,11,740556,1497091
Bolivia,12,807879,1633190
Bolivia,13,875203,1769289
Bolivia,14,942526,1905388
Bolivia,15,1009849,2041487
Bolivia,16,1077172,2177586
Bolivia,17,1144496,2313685
Bolivia,18,1211819,2449784
Bolivia,19,1279142,2585884
Bolivia,20,1346465,2721983
Bolivia,21,1413788,2858082
Bolivia,22,1481112,2994181
Bolivia,23,1548435,3130280
Bolivia,24,1615758,3266379
Bosnia and Herzegovina,1,111096,224588
Bosnia and Herzegovina,2,222191,449175
Bosnia and Herzegovina,3,333286,673762
Bosnia and Herzegovina,4,444381,898349
Bosnia and Herzegovina,5,555476,1122936
Bosnia and Herzegovina,6,666571,1347524
Bosnia and Herzegovina,7,777666,1572111
Bosnia and Herzegovina,8,888761,1796698
Bosnia and Herzegovina,9,999856,2021285
Bosnia and Herzegovina,10,1110951,2245872
Bosnia and Herzegovina,11,1222046,2470459
Bosnia and Herzegovina,12,1333141,2695047
Bosnia and Herzegovina,13,1444236,2919634
Bosnia and Herzegovina,14,1555331,3144221
Bosnia and Herzegovina,15,1666426,3368808
Bosnia and Herzegovina,16,1777521,3593395
Bosnia and Herzegovina,17,1888616,3817982
Bosnia and Herzegovina,18,1999711,4042570
Bosnia and Herzegovina,19,2110806,4267157
Bosnia and Herzegovina,20,2221901,4491744
Bosnia and Herzegovina,21,2332996,4716331
Bosnia and Herzegovina,22,2444091,4940918
Bosnia and Herzegovina,23,2555186,5165505
Bosnia and Herzegovina,24,2666281,5390093
Brazil,1,20483,41407
Brazil,2,40965,82814
Brazil,3,61448,124221
Brazil,4,81930,165627
Brazil,5,102412,207034
Brazil,6,122895,248441
Brazil,7,143377,289847
Brazil,8,163859,331254
Brazil,9,184342,372661
Brazil,10,204824,414067
Brazil,11,225306,455474
Brazil,12,245789,496881
Brazil,13,266271,538287
Brazil,14,286754,579694
Brazil,15,307236,621101
Brazil,16,327718,662507
Brazil,17,348201,703914
Brazil,18,368683,745321
Brazil,19,389165,786727
Brazil,20,409648,828134
Brazil,21,430130,869541
Brazil,22,450612,910947
Brazil,23,471095,952354
Brazil,24,491577,993761
Bulgaria,1,80234,162199
Bulgaria,2,160468,324397
Bulgaria,3,240701,486596
Bulgaria,4,320935,648794
Bulgaria,5,401169,810993
Bulgaria,6,481402,973191
Bulgaria,7,561636,1135389
Bulgaria,8,641869,1297588
Bulgaria,9,722103,1459786
Bulgaria,10,802337,1621985
Bulgaria,11,882570,1784183
Bulgaria,12,962804,1946382
Bulgaria,13,1043037,2108580
Bulgaria,14,1123271,2270778
Bulgaria,15,1203505,2432977
Bulgaria,16,1283738,2595175
Bulgaria,17,1363972,2757374
Bulgaria,18,1444205,2919572
Bulgaria,19,1524439,3081770
Bulgaria,20,1604673,3243969
Bulgaria,21,1684906,3406167
Bulgaria,22,1765140,3568366
Bulgaria,23,1845374,3730564
Bulgaria,24,1925607,3892763
Burundi,1,50181,101445
Burundi,2,100362,202889
Burundi,3,150543,304333
Burundi,4,200724,405778
Burundi,5,250904,507222
Burundi,6,301085,608666
Burundi,7,351266,710110
Burundi,8,401447,811555
Burundi,9,451627,912999
Burundi,10,501808,1014443
Burundi,11,551989,1115887
Burundi,12,602170,1217332
Burundi,13,652350,1318776
Burundi,14,702531,1420220
Burundi,15,752712,1521664
Burundi,16,802893,1623109
Burundi,17,853073,1724553
Burundi,18,903254,1825997
Burundi,19,953435,1927441
Burundi,20,1003616,2028886
Burundi,21,1053796,2130330
Burundi,22,1103977,2231774
Burundi,23,1154158,2333218
