country,number_of_hours,low_upper_band,medium_upper_band
ASEAN (Ember),1,201,406
ASEAN (Ember),2,402,812
ASEAN (Ember),3,603,1218
ASEAN (Ember),4,803,1624
ASEAN (Ember),5,1004,2029
ASEAN (Ember),6,1205,2435
ASEAN (Ember),7,1406,2841
ASEAN (Ember),8,1606,3247
ASEAN (Ember),9,1807,3652
ASEAN (Ember),10,2008,4058
ASEAN (Ember),11,2208,4464
ASEAN (Ember),12,2409,4870
ASEAN (Ember),13,2610,5276
ASEAN (Ember),14,2811,5681
ASEAN (Ember),15,3011,6087
ASEAN (Ember),16,3212,6493
ASEAN (Ember),17,3413,6899
ASEAN (Ember),18,3614,7304
ASEAN (Ember),19,3814,7710
ASEAN (Ember),20,4015,8116
ASEAN (Ember),21,4216,8522
ASEAN (Ember),22,4416,8928
ASEAN (Ember),23,4617,9333
ASEAN (Ember),24,4818,9739
Afghanistan,1,201,406
Afghanistan,2,402,812
Afghanistan,3,603,1218
Afghanistan,4,803,1624
Afghanistan,5,1004,2029
Afghanistan,6,1205,2435
Afghanistan,7,1406,2841
Afghanistan,8,1606,3247
Afghanistan,9,1807,3652
Afghanistan,10,2008,4058
Afghanistan,11,2208,4464
Afghanistan,12,2409,4870
Afghanistan,13,2610,5276
Afghanistan,14,2811,5681
Afghanistan,15,3011,6087
Afghanistan,16,3212,6493
Afghanistan,17,3413,6899
Afghanistan,18,3614,7304
Afghanistan,19,3814,7710
Afghanistan,20,4015,8116
Afghanistan,21,4216,8522
Afghanistan,22,4416,8928
Afghanistan,23,4617,9333
Afghanistan,24,4818,9739
Africa,1,201,406
Africa,2,402,812
Africa,3,603,1218
Africa,4,803,1624
Africa,5,1004,2029
Africa,6,1205,2435
Africa,7,1406,2841
Africa,8,1606,3247
Africa,9,1807,3652
Africa,10,2008,4058
Africa,11,2208,4464
Africa,12,2409,4870
Africa,13,2610,5276
Africa,14,2811,5681
Africa,15,3011,6087
Africa,16,3212,6493
Africa,17,3413,6899
Africa,18,3614,7304
Africa,19,3814,7710
Africa,20,4015,8116
Africa,21,4216,8522
Africa,22,4416,8928
Africa,23,4617,9333
Africa,24,4818,9739
Africa (EI),1,201,406
Africa (EI),2,402,812
Africa (EI),3,603,1218
Africa (EI),4,803,1624
Africa (EI),5,1004,2029
Africa (EI),6,1205,2435
Africa (EI),7,1406,2841
Africa (EI),8,1606,3247
Africa (EI),9,1807,3652
Africa (EI),10,2008,4058
Africa (EI),11,2208,4464
Africa (EI),12,2409,4870
Africa (EI),13,2610,5276
Africa (EI),14,2811,5681
Africa (EI),15,3011,6087
Africa (EI),16,3212,6493
Africa (EI),17,3413,6899
Africa (EI),18,3614,7304
Africa (EI),19,3814,7710
Africa (EI),20,4015,8116
Africa (EI),21,4216,8522
Africa (EI),22,4416,8928
Africa (EI),23,4617,9333
Africa (EI),24,4818,9739
Africa (Ember),1,201,406
Africa (Ember),2,402,812
Africa (Ember),3,603,1218
Africa (Ember),4,803,1624
Africa (Ember),5,1004,2029
Africa (Ember),6,1205,2435
Africa (Ember),7,1406,2841
Africa (Ember),8,1606,3247
Africa (Ember),9,1807,3652
Africa (Ember),10,2008,4058
Africa (Ember),11,2208,4464
Africa (Ember),12,2409,4870
Africa (Ember),13,2610,5276
Africa (Ember),14,2811,5681
Africa (Ember),15,3011,6087
Africa (Ember),16,3212,6493
Africa (Ember),17,3413,6899
Africa (Ember),18,3614,7304
Africa (Ember),19,3814,7710
Africa (Ember),20,4015,8116
Africa (Ember),21,4216,8522
Africa (Ember),22,4416,8928
Africa (Ember),23,4617,9333
Africa (Ember),24,4818,9739
Albania,1,201,406
Albania,2,402,812
Albania,3,603,1218
Albania,4,803,1624
Albania,5,1004,2029
Albania,6,1205,2435
Albania,7,1406,2841
Albania,8,1606,3247
Albania,9,1807,3652
Albania,10,2008,4058
Albania,11,2208,4464
