country,number_of_hours,low_upper_band,medium_upper_band
ASEAN (Ember),1,195,393
ASEAN (Ember),2,389,786
ASEAN (Ember),3,583,1179
ASEAN (Ember),4,778,1571
ASEAN (Ember),5,972,1964
ASEAN (Ember),6,1166,2357
ASEAN (Ember),7,1360,2749
ASEAN (Ember),8,1555,3142
ASEAN (Ember),9,1749,3535
ASEAN (Ember),10,1943,3928
ASEAN (Ember),11,2137,4320
ASEAN (Ember),12,2332,4713
ASEAN (Ember),13,2526,5106
ASEAN (Ember),14,2720,5498
ASEAN (Ember),15,2914,5891
ASEAN (Ember),16,3109,6284
ASEAN (Ember),17,3303,6677
ASEAN (Ember),18,3497,7069
ASEAN (Ember),19,3691,7462
ASEAN (Ember),20,3886,7855
ASEAN (Ember),21,4080,8247
ASEAN (Ember),22,4274,8640
ASEAN (Ember),23,4468,9033
ASEAN (Ember),24,4663,9426
Afghanistan,1,49,98
Afghanistan,2,97,196
Afghanistan,3,146,294
Afghanistan,4,194,392
Afghanistan,5,242,489
Afghanistan,6,291,587
Afghanistan,7,339,685
Afghanistan,8,387,783
Afghanistan,9,436,880
Afghanistan,10,484,978
Afghanistan,11,532,1076
Afghanistan,12,581,1174
Afghanistan,13,629,1271
Afghanistan,14,678,1369
Afghanistan,15,726,1467
Afghanistan,16,774,1565
Afghanistan,17,823,1662
Afghanistan,18,871,1760
Afghanistan,19,919,1858
Afghanistan,20,968,1956
Afghanistan,21,1016,2053
Afghanistan,22,1064,2151
Afghanistan,23,1113,2249
Afghanistan,24,1161,2347
Africa,1,172,347
Africa,2,343,694
Africa,3,515,1040
Africa,4,686,1387
Africa,5,858,1733
Africa,6,1029,2080
Africa,7,1200,2426
Africa,8,1372,2773
Africa,9,1543,3119
Africa,10,1715,3466
Africa,11,1886,3812
Africa,12,2057,4159
Africa,13,2229,4505
Africa,14,2400,4852
Africa,15,2572,5198
Africa,16,2743,5545
Africa,17,2914,5891
Africa,18,3086,6238
Africa,19,3257,6584
Africa,20,3429,6931
Africa,21,3600,7277
Africa,22,3771,7624
Africa,23,3943,7970
Africa,24,4114,8317
Africa (EI),1,172,347
Africa (EI),2,343,694
Africa (EI),3,515,1040
Africa (EI),4,686,1387
Africa (EI),5,858,1733
Africa (EI),6,1029,2080
Africa (EI),7,1200,2426
Africa (EI),8,1372,2773
Africa (EI),9,1543,3119
Africa (EI),10,1715,3466
Africa (EI),11,1886,3812
Africa (EI),12,2057,4159
Africa (EI),13,2229,4505
Africa (EI),14,2400,4852
Africa (EI),15,2572,5198
Africa (EI),16,2743,5545
Africa (EI),17,2914,5891
Africa (EI),18,3086,6238
Africa (EI),19,3257,6584
Africa (EI),20,3429,6931
Africa (EI),21,3600,7277
Africa (EI),22,3771,7624
Africa (EI),23,3943,7970
Africa (EI),24,4114,8317
Africa (Ember),1,178,359
Africa (Ember),2,355,718
Africa (Ember),3,533,1076
Africa (Ember),4,710,1435
Africa (Ember),5,887,1794
Africa (Ember),6,1065,2152
Africa (Ember),7,1242,2511
Africa (Ember),8,1420,2869
Africa (Ember),9,1597,3228
Africa (Ember),10,1774,3587
Africa (Ember),11,1952,3945
Africa (Ember),12,2129,4304
Africa (Ember),13,2307,4662
Africa (Ember),14,2484,5021
Africa (Ember),15,2661,5380
Africa (Ember),16,2839,5738
Africa (Ember),17,3016,6097
Africa (Ember),18,3194,6455
Africa (Ember),19,3371,6814
Africa (Ember),20,3548,7173
Africa (Ember),21,3726,7531
Africa (Ember),22,3903,7890
Africa (Ember),23,4080,8249
Africa (Ember),24,4258,8607
Albania,1,2,4
Albania,2,4,7
Albania,3,5,11
Albania,4,7,14
Albania,5,9,17
Albania,6,10,21
Albania,7,12,24
Albania,8,14,27
Albania,9,15,31
Albania,10,17,34
Albania,11,19,37
Albania,12,20,41
Albania,13,22,44
Albania,14,24,48
Albania,15,25,51
Albania,16,27,54
Albania,17,29,58
Albania,18,30,61
Albania,19,32,64
Albania,20,34,68
Albania,21,35,71
Albania,22,37,74
Albania,23,39,78
Albania,24,40,81
Algeria,1,2,4
Algeria,2,4,7
Algeria,3,5,10
Algeria,4,7,13
Algeria,5,8,16
Algeria,6,10,20
Algeria,7,12,23
Algeria,8,13,26
Algeria,9,15,29
Algeria,10,16,32
Algeria,11,18,36
Algeria,12,19,39
Algeria,13,21,42
Algeria,14,23,45
Algeria,15,24,48
Algeria,16,26,52
Algeria,17,27,55
Algeria,18,29,58
Algeria,19,30,61
Algeria,20,32,64
Algeria,21,34,67
Algeria,22,35,71
Algeria,23,37,74
Algeria,24,38,77
American Samoa,1,178,359
American Samoa,2,356,718
American Samoa,3,533,1077
American Samoa,4,711,1436
American Samoa,5,888,1795
American Samoa,6,1066,2154
American Samoa,7,1244,2513
American Samoa,8,1421,2872
American Samoa,9,1599,3231
American Samoa,10,1776,3590
American Samoa,11,1954,3949
American Samoa,12,2131,4308
American Samoa,13,2309,4667
American Samoa,14,2487,5026
American Samoa,15,2664,5385
American Samoa,16,2842,5744
American Samoa,17,3019,6103
American Samoa,18,3197,6462
American Samoa,19,3375,6821
American Samoa,20,3552,7180
American Samoa,21,3730,7539
American Samoa,22,3907,7898
American Samoa,23,4085,8257
American Samoa,24,4262,8616
Antigua and Barbuda,1,180,364
Antigua and Barbuda,2,360,727
Antigua and Barbuda,3,539,1090
Antigua and Barbuda,4,719,1453
Antigua and Barbuda,5,899,1816
Antigua and Barbuda,6,1078,2179
Antigua and Barbuda,7,1258,2542
Antigua and Barbuda,8,1437,2905
Antigua and Barbuda,9,1617,3268
Antigua and Barbuda,10,1797,3631
Antigua and Barbuda,11,1976,3995
Antigua and Barbuda,12,2156,4358
Antigua and Barbuda,13,2335,4721
Antigua and Barbuda,14,2515,5084
Antigua and Barbuda,15,2695,5447
Antigua and Barbuda,16,2874,5810
Antigua and Barbuda,17,3054,6173
Antigua and Barbuda,18,3234,6536
Antigua and Barbuda,19,3413,6899
Antigua and Barbuda,20,3593,7262
Antigua and Barbuda,21,3772,7626
Antigua and Barbuda,22,3952,7989
Antigua and Barbuda,23,4132,8352
Antigua and Barbuda,24,4311,8715
Argentina,1,145,293
Argentina,2,290,585
Argentina,3,434,877
Argentina,4,579,1169
Argentina,5,723,1461
Argentina,6,868,1753
Argentina,7,1012,2046
Argentina,8,1157,2338
Argentina,9,1301,2630
Argentina,10,1446,2922
Argentina,11,1590,3214
Argentina,12,1735,3506
Argentina,13,1879,3798
Argentina,14,2024,4091
Argentina,15,2168,4383
Argentina,16,2313,4675
Argentina,17,2457,4967
Argentina,18,2602,5259
Argentina,19,2746,5551
Argentina,20,2891,5843
Argentina,21,3035,6136
Argentina,22,3180,6428
Argentina,23,3324,6720
Argentina,24,3469,7012
Armenia,1,191,386
Armenia,2,381,771
Armenia,3,572,1156
Armenia,4,762,1541
Armenia,5,953,1926
Armenia,6,1143,2311
Armenia,7,1334,2696
Armenia,8,1524,3081
Armenia,9,1715,3466
Armenia,10,1905,3851
Armenia,11,2096,4236
Armenia,12,2286,4621
Armenia,13,2477,5006
Armenia,14,2667,5391
Armenia,15,2858,5777
Armenia,16,3048,6162
Armenia,17,3239,6547
Armenia,18,3429,6932
Armenia,19,3620,7317
Armenia,20,3810,7702
Armenia,21,4001,8087
Armenia,22,4191,8472
Armenia,23,4382,8857
Armenia,24,4572,9242
Aruba,1,152,306
Aruba,2,303,612
Aruba,3,454,918
Aruba,4,605,1223
Aruba,5,757,1529
Aruba,6,908,1835
Aruba,7,1059,2141
Aruba,8,1210,2446
Aruba,9,1362,2752
Aruba,10,1513,3058
Aruba,11,1664,3364
Aruba,12,1815,3669
Aruba,13,1967,3975
Aruba,14,2118,4281
Aruba,15,2269,4587
Aruba,16,2420,4892
Aruba,17,2572,5198
Aruba,18,2723,5504
Aruba,19,2874,5810
Aruba,20,3025,6115
Aruba,21,3177,6421
Aruba,22,3328,6727
Aruba,23,3479,7033
Aruba,24,3630,7338
Asia,1,210,424
Asia,2,419,847
Asia,3,629,1271
Asia,4,838,1694
Asia,5,1048,2117
Asia,6,1257,2541
Asia,7,1466,2964
Asia,8,1676,3387
Asia,9,1885,3811
Asia,10,2095,4234
Asia,11,2304,4657
Asia,12,2513,5081
Asia,13,2723,5504
Asia,14,2932,5927
Asia,15,3142,6351
Asia,16,3351,6774
Asia,17,3560,7197
Asia,18,3770,7621
Asia,19,3979,8044
Asia,20,4189,8467
Asia,21,4398,8891
Asia,22,4607,9314
Asia,23,4817,9737
Asia,24,5026,10161
Asia (Ember),1,221,446
Asia (Ember),2,442,892
Asia (Ember),3,662,1338
Asia (Ember),4,883,1784
Asia (Ember),5,1103,2230
Asia (Ember),6,1324,2675
Asia (Ember),7,1544,3121
Asia (Ember),8,1765,3567
Asia (Ember),9,1985,4013
Asia (Ember),10,2206,4459
Asia (Ember),11,2426,4904
Asia (Ember),12,2647,5350
Asia (Ember),13,2867,5796
Asia (Ember),14,3088,6242
Asia (Ember),15,3308,6688
Asia (Ember),16,3529,7133
Asia (Ember),17,3749,7579
Asia (Ember),18,3970,8025
Asia (Ember),19,4191,8471
Asia (Ember),20,4411,8917
Asia (Ember),21,4632,9363
Asia (Ember),22,4852,9808
Asia (Ember),23,5073,10254
Asia (Ember),24,5293,10700
Asia Pacific (EI),1,213,430
Asia Pacific (EI),2,426,860
Asia Pacific (EI),3,638,1290
Asia Pacific (EI),4,851,1720
Asia Pacific (EI),5,1064,2150
Asia Pacific (EI),6,1276,2580
Asia Pacific (EI),7,1489,3010
Asia Pacific (EI),8,1702,3440
Asia Pacific (EI),9,1914,3870
Asia Pacific (EI),10,2127,4300
Asia Pacific (EI),11,2340,4730
Asia Pacific (EI),12,2552,5160
Asia Pacific (EI),13,2765,5589
Asia Pacific (EI),14,2978,6019
Asia Pacific (EI),15,3190,6449
Asia Pacific (EI),16,3403,6879
Asia Pacific (EI),17,3616,7309
Asia Pacific (EI),18,3828,7739
Asia Pacific (EI),19,4041,8169
Asia Pacific (EI),20,4254,8599
Asia Pacific (EI),21,4466,9029
Asia Pacific (EI),22,4679,9459
Asia Pacific (EI),23,4892,9889
Asia Pacific (EI),24,5104,10319
Australia,1,204,412
Australia,2,408,823
Australia,3,611,1235
Australia,4,815,1646
Australia,5,1018,2058
Australia,6,1222,2469
Australia,7,1425,2881
Australia,8,1629,3292
Australia,9,1832,3704
Australia,10,2036,4115
Australia,11,2240,4527
Australia,12,2443,4938
Australia,13,2647,5350
Australia,14,2850,5761
Australia,15,3054,6173
Australia,16,3257,6584
Australia,17,3461,6996
Australia,18,3664,7407
Australia,19,3868,7819
Australia,20,4072,8230
Australia,21,4275,8642
Australia,22,4479,9053
Australia,23,4682,9465
Australia,24,4886,9876
Austria,1,69,139
Austria,2,138,278
Austria,3,206,417
Austria,4,275,556
Austria,5,344,694
Austria,6,412,833
Austria,7,481,972
Austria,8,550,1111
Austria,9,618,1249
Austria,10,687,1388
Austria,11,756,1527
Austria,12,824,1666
Austria,13,893,1804
Austria,14,962,1943
Austria,15,1030,2082
Austria,16,1099,2221
Austria,17,1167,2360
Austria,18,1236,2498
Austria,19,1305,2637
Austria,20,1373,2776
Austria,21,1442,2915
Austria,22,1511,3053
Austria,23,1579,3192
Austria,24,1648,3331
Azerbaijan,1,1,1
Azerbaijan,2,1,2
Azerbaijan,3,2,3
Azerbaijan,4,2,4
Azerbaijan,5,3,5
Azerbaijan,6,3,6
Azerbaijan,7,4,7
Azerbaijan,8,4,8
Azerbaijan,9,5,9
Azerbaijan,10,5,10
Azerbaijan,11,5,10
Azerbaijan,12,6,11
Azerbaijan,13,6,12
Azerbaijan,14,7,13
Azerbaijan,15,7,14
Azerbaijan,16,8,15
Azerbaijan,17,8,16
Azerbaijan,18,9,17
Azerbaijan,19,9,18
Azerbaijan,20,9,19
Azerbaijan,21,10,20
Azerbaijan,22,10,20
Azerbaijan,23,11,21
Azerbaijan,24,11,22
Bahamas,1,178,359
Bahamas,2,356,718
Bahamas,3,533,1077
Bahamas,4,711,1436
Bahamas,5,888,1795
Bahamas,6,1066,2154
Bahamas,7,1244,2513
Bahamas,8,1421,2872
Bahamas,9,1599,3231
Bahamas,10,1776,3590
Bahamas,11,1954,3949
Bahamas,12,2131,4308
Bahamas,13,2309,4667
Bahamas,14,2487,5026
Bahamas,15,2664,5385
Bahamas,16,2842,5744
Bahamas,17,3019,6103
Bahamas,18,3197,6462
Bahamas,19,3375,6821
Bahamas,20,3552,7180
Bahamas,21,3730,7539
Bahamas,22,3907,7898
Bahamas,23,4085,8257
Bahamas,24,4262,8616
Bangladesh,1,186,375
